Dates,ABE.MC.Adjusted,ANA.MC.Adjusted,ACX.MC.Adjusted,ACS.MC.Adjusted,AENA.MC.Adjusted,AMS.MC.Adjusted,MTS.MC.Adjusted,COL.MC.Adjusted,SAB.MC.Adjusted,SAN.MC.Adjusted,BKIA.MC.Adjusted,BKT.MC.Adjusted,BBVA.MC.Adjusted,CABK.MC.Adjusted,CLNX.MC.Adjusted,DIA.MC.Adjusted,ENG.MC.Adjusted,ELE.MC.Adjusted,FER.MC.Adjusted,SGRE.MC.Adjusted,GAS.MC.Adjusted,GRF.MC.Adjusted,IBE.MC.Adjusted,ITX.MC.Adjusted,IDR.MC.Adjusted,IAG.MC.Adjusted,MAP.MC.Adjusted,TL5.MC.Adjusted,MEL.MC.Adjusted,MRL.MC.Adjusted,REE.MC.Adjusted,REP.MC.Adjusted,TRE.MC.Adjusted,TEF.MC.Adjusted,VIS.MC.Adjusted
2007-01-01,11.817134,81.544662,15.017534,NA,NA,NA,NA,1529.380249,2.858575,5.259987,NA,3.947254,9.257767,NA,NA,NA,8.920559,14.13448,7.65235,16.74283,NA,NA,4.366264,-0.392162,12.899632,NA,1.757474,NA,13.439778,NA,0.865198,14.248934,NA,7.602148,10.665106
2007-01-02,11.890642,82.671631,15.037075,22.940308,NA,NA,60.111214,1529.380249,2.917598,5.390188,NA,3.947254,9.516628,NA,NA,NA,9.123071,14.230494,7.742732,17.361151,12.633875,4.26062,4.614411,-0.39197,13.086781,NA,1.834557,11.421704,13.591991,NA,0.881564,14.482792,18.911818,7.729505,10.687494
2007-01-03,11.922132,81.775864,14.646164,22.950983,NA,NA,57.624077,1526.182495,2.951328,5.393894,NA,4.036658,9.60797,NA,NA,NA,8.616797,14.162485,7.628248,17.184488,12.592875,4.109023,4.625564,-0.392258,13.225413,NA,1.865388,11.489582,13.780023,NA,0.837181,14.43928,18.898729,7.767238,10.694956
2007-01-04,11.890642,81.053452,13.743048,22.721476,NA,NA,56.033085,1505.434814,2.951328,5.423675,NA,4.013481,9.60797,NA,NA,NA,8.394033,14.222494,7.501712,17.047974,12.720072,4.045195,4.601863,-0.392066,12.927356,NA,1.901362,11.306846,13.815838,NA,0.7989,14.428408,18.512644,7.866263,10.612862
2007-01-05,11.780351,79.175201,13.880482,22.385218,NA,NA,56.691444,1526.182495,2.959764,5.390188,NA,4.195503,9.511502,NA,NA,NA,8.439598,14.122476,7.351074,16.79904,12.4,4.117003,4.54889,-0.389087,12.864972,NA,2.00414,11.129249,13.654668,NA,0.824698,14.161922,17.995674,7.918113,10.874077
2007-01-08,11.880165,79.059616,13.716874,22.518654,NA,NA,56.234215,1514.482544,2.985057,5.367863,NA,4.216277,9.486148,NA,NA,NA,8.464911,14.08647,7.345051,17.208576,12.560063,4.041204,4.541919,-0.39024,12.982809,NA,2.014417,11.103159,13.753161,NA,0.81915,14.112972,18.32287,7.993575,11.135296
2007-01-09,11.906415,80.128754,13.736506,22.641415,NA,NA,56.471989,1520.332642,3.001924,5.367863,NA,4.209349,9.516628,NA,NA,NA,8.545916,14.178486,7.501712,16.758892,12.437041,4.248651,4.540525,-0.38976,13.059058,NA,2.014417,11.160588,14.111317,NA,0.813602,13.851918,18.852924,7.941725,11.120369
2007-01-10,11.780351,80.244362,13.252229,21.71804,NA,NA,56.398788,1502.237061,2.959764,5.252573,NA,4.074347,9.41301,NA,NA,NA,8.419347,14.594558,7.399279,16.30117,12.170622,4.424181,4.502884,-0.393603,12.871904,NA,1.95789,11.1188,14.00387,NA,0.787804,13.715959,19.631647,7.78608,10.963636
2007-01-11,11.869635,82.469345,13.415832,22.134359,NA,NA,57.020588,1508.623047,2.985057,5.319508,NA,4.164351,9.576604,NA,NA,NA,8.475681,14.854605,7.441458,16.526018,12.478634,4.583755,4.540525,-0.401771,13.114508,NA,1.973303,11.332937,14.066547,NA,0.811383,13.931132,20.286032,7.922835,11.112906
2007-01-12,11.832852,81.978127,13.415832,22.481293,NA,NA,57.276596,1511.28479,3.027218,5.315799,NA,4.167809,9.678894,NA,NA,NA,8.55762,14.718582,7.531841,16.662527,12.420377,4.456097,4.507067,-0.398312,12.989739,NA,2.00414,11.348577,14.209809,NA,0.816099,13.914582,19.958843,7.979455,11.120369
2007-01-15,11.780351,82.828239,13.546721,22.443573,NA,NA,58.538456,1600.153442,3.052516,5.326962,NA,4.171276,9.750476,NA,NA,NA,8.654924,14.702579,7.622221,16.831161,12.41622,4.531895,4.521007,-0.397927,13.16303,NA,1.998999,11.343382,14.191901,NA,0.819982,14.013898,20.181334,7.984179,11.239782
2007-01-16,11.607025,85.448448,13.35039,22.519016,NA,NA,58.922482,1582.594238,3.027218,5.282311,NA,4.171276,9.689112,NA,NA,NA,8.624198,14.942621,7.489663,16.839191,12.320476,4.424181,4.534948,-0.395429,13.315521,NA,1.998999,11.285952,13.77107,NA,0.806667,13.765615,19.926123,7.9464,11.105444
2007-01-17,11.554525,85.215553,13.409292,22.524403,NA,NA,58.154438,1615.051147,3.035654,5.245118,NA,4.136657,9.678894,NA,NA,NA,8.439834,15.022634,7.543891,16.7348,12.341296,4.340405,4.468033,-0.393315,13.578922,NA,1.978444,11.176231,13.654668,NA,0.781424,13.677338,19.998104,7.875709,10.896466
2007-01-18,11.486253,84.400368,13.442014,22.524403,NA,NA,58.501907,1591.105713,3.018786,5.233958,NA,4.209349,9.673782,NA,NA,NA,8.194013,15.162659,7.549916,16.710707,12.25806,4.43615,4.451304,-0.395333,13.204618,NA,1.98358,10.862879,13.780023,NA,0.779205,13.638719,19.631647,7.847373,11.015883
2007-01-19,11.628035,86.875031,13.442014,22.72917,NA,NA,58.757927,1777.354614,3.035654,5.319508,NA,4.226661,9.776014,NA,NA,NA,8.342529,15.150658,7.628248,16.542078,12.23724,4.515936,4.481975,-0.399081,13.253139,NA,1.973303,10.862879,13.833746,NA,0.785308,13.671823,20.08972,7.913439,11.097977
2007-01-22,11.491493,87.923126,13.84776,22.745338,NA,NA,59.544296,1662.415161,3.018786,5.274856,NA,4.188581,9.719767,NA,NA,NA,8.357894,15.198666,7.586069,16.98373,12.303858,4.503968,4.530766,-0.397831,13.12144,NA,1.95789,10.737574,14.012824,NA,0.794739,13.6332,20.286032,7.866263,10.963636
2007-01-23,11.486253,86.758591,13.644888,22.669893,NA,NA,60.915829,1691.683838,3.027218,5.267442,NA,4.171276,9.760692,NA,NA,NA,8.562741,15.354696,7.537865,17.288881,12.208108,4.44014,4.508461,-0.397831,12.962016,NA,1.947612,10.680088,13.905378,NA,0.811383,13.627687,21.385405,7.842652,10.986028
2007-01-24,11.533516,90.252205,14.214239,22.94471,NA,NA,63.768684,1670.926758,3.035654,5.390188,NA,4.237046,9.893629,NA,NA,NA,8.859776,15.434707,7.622221,17.401302,12.549404,4.484022,4.550283,-0.39466,13.031329,NA,1.95789,10.873327,14.173993,NA,0.834962,13.898028,21.497683,7.880383,10.896466
2007-01-25,11.512505,90.077538,13.775774,22.858498,NA,NA,64.719627,1632.619873,3.018786,5.371609,NA,4.285506,9.862924,NA,NA,NA,8.680532,15.602737,7.574018,17.184488,12.815781,4.623649,4.540525,-0.401867,13.038263,NA,1.968166,10.94126,14.415749,NA,0.84051,13.831823,21.273134,7.903994,10.978564
2007-01-26,11.423222,89.378815,13.304581,22.497458,NA,NA,64.134483,1567.696533,3.001924,5.308343,NA,4.233585,9.714657,NA,NA,NA,8.649804,15.478715,7.453509,16.654497,12.95732,4.587745,4.530766,-0.393988,13.017467,NA,1.937335,10.753215,14.326209,NA,0.834962,13.738028,21.563734,7.85682,10.821833
2007-01-29,11.402209,90.630699,13.415832,22.594454,NA,NA,64.920845,1576.20813,3.001924,5.371609,NA,4.278586,9.765797,NA,NA,NA,8.670288,15.602737,7.525815,16.791014,12.915682,4.599713,4.606047,-0.404558,13.031329,NA,1.921916,10.768916,14.594825,NA,0.839678,13.721474,21.794889,7.875709,11.083051
2007-01-30,11.407452,90.339546,13.461644,22.583681,NA,NA,65.378006,1532.041992,2.985057,5.405058,NA,4.237046,9.827162,NA,NA,NA,8.644683,15.498718,7.531841,16.758892,12.824137,4.683489,4.624169,-0.410228,13.072918,NA,1.978444,10.77936,14.773903,NA,0.838845,13.87044,21.860935,7.880383,11.015243
2007-01-31,11.549285,91.737007,13.703786,22.486683,NA,NA,65.286537,1573.546509,2.976626,5.427383,NA,4.237046,9.740256,NA,NA,NA,8.613955,15.430707,7.580044,16.82313,12.757518,4.687478,4.572588,-0.417723,12.996673,NA,1.973303,10.852433,14.747041,NA,0.856321,13.87044,21.9666,7.899273,11.158395
2007-02-01,11.559768,89.262352,13.383113,22.739943,NA,NA,67.133636,1549.601074,3.001924,5.400514,NA,4.250892,9.873194,NA,NA,NA,8.757351,15.366696,7.694529,17.064037,12.761671,4.902903,4.571194,-0.422336,13.010535,NA,1.988721,10.659249,14.81867,NA,0.877681,13.94769,22.369476,7.93228,11.271408
2007-02-02,11.591312,90.252205,13.291492,22.885435,NA,NA,66.42038,1615.051147,3.018786,5.400514,NA,4.299355,9.944776,NA,NA,NA,8.987808,15.61874,7.694529,17.104187,12.840756,4.962743,4.60047,-0.416089,13.052123,NA,2.00414,10.617462,15.132059,NA,0.878235,13.986307,22.56761,7.941725,11.527578
2007-02-05,11.649044,90.514229,13.428926,22.793831,NA,NA,66.895851,1602.815186,3.018786,5.35928,NA,4.268203,9.970319,NA,NA,NA,9.202899,15.242674,7.766834,17.26479,13.148765,4.874979,4.611624,-0.417339,13.059058,NA,1.978444,10.523441,15.20369,NA,0.895157,14.146309,22.653475,7.93228,11.685801
2007-02-06,11.659579,90.688927,13.055898,22.793831,NA,NA,66.822731,1585.255859,3.027218,5.393042,NA,4.299355,10.18506,NA,NA,NA,9.039019,15.142655,8.03798,17.369179,13.46098,4.755298,4.739879,-0.416666,13.364046,NA,2.024694,10.622657,15.20369,NA,0.89793,14.074582,22.851606,7.918113,11.587852
2007-02-07,11.654288,95.172409,13.500913,23.251863,NA,NA,67.353088,1585.255859,3.035654,5.404295,NA,4.333968,10.266856,NA,NA,NA,9.136324,15.198666,8.03798,18.019625,13.723195,4.791202,4.880681,-0.418876,13.391769,NA,2.060662,10.805449,15.651381,NA,0.922896,14.030443,23.069563,8.007743,11.80635
2007-02-08,11.517741,96.133171,13.343852,23.246473,NA,NA,66.840973,1573.546509,3.010356,5.423022,NA,4.3132,10.195277,NA,NA,NA,9.069748,15.206664,8.098235,17.875078,13.619143,4.807159,4.869527,-0.424738,13.218481,NA,2.02983,10.883773,15.758831,NA,0.915406,13.942167,23.102583,8.069037,11.497441
2007-02-09,11.575536,94.415443,13.35039,23.332697,NA,NA,66.383842,1620.910645,3.010356,5.449269,NA,4.323585,10.210656,NA,NA,NA,9.136324,15.206664,8.339252,18.533548,13.818947,4.731362,4.884863,-0.427429,13.190758,NA,2.050385,10.82109,15.758831,NA,0.916793,13.964235,23.379971,8.083204,11.670732
2007-02-12,11.538753,93.571152,13.409292,23.036318,NA,NA,65.92659,1611.862915,2.993493,5.393042,NA,4.302811,10.05723,NA,NA,NA,9.136324,15.21467,8.254898,18.493401,13.818947,4.735351,4.854192,-0.424546,13.204618,NA,2.024694,10.873327,15.669293,NA,0.917348,13.892511,23.571499,8.03603,11.715938
2007-02-13,11.580775,93.367371,13.474731,23.063263,NA,NA,66.749512,1611.862915,3.010356,5.445532,NA,4.271658,10.123696,NA,NA,NA,9.120959,15.250673,8.152465,18.549606,13.781457,4.783222,4.855587,-0.429639,13.225413,NA,2.040108,10.8002,15.669293,NA,0.913742,14.008378,23.287504,8.031304,11.663196
2007-02-14,11.580775,94.619247,13.756142,23.17103,NA,NA,68.377167,1617.712769,3.027218,5.475554,NA,4.261275,10.195277,NA,NA,NA,9.279721,15.262678,8.248872,18.629913,13.835564,4.811148,4.889044,-0.430119,13.253139,NA,2.045249,10.810702,15.937909,NA,0.937043,14.03596,23.571499,8.087877,11.934436
2007-02-15,11.549285,93.571152,13.762685,23.359634,NA,NA,69.328117,1647.517578,3.027218,5.46804,NA,4.268203,10.210656,NA,NA,NA,9.243869,15.250673,8.188619,19.200052,13.82725,4.835085,4.865346,-0.435981,13.142235,NA,2.024694,10.883773,16.099079,NA,0.927334,13.920099,23.446016,8.04075,12.311152
2007-02-16,11.57024,93.774963,13.985189,23.580572,NA,NA,70.388855,1676.786133,3.044086,5.438014,NA,4.243968,9.965209,NA,NA,NA,9.336054,15.262678,8.15849,19.248234,13.914641,4.827106,4.854192,-0.440882,13.16996,NA,2.040108,10.847238,15.946861,NA,0.923173,13.83734,23.446016,8.078482,12.303617
2007-02-19,11.633274,94.299019,13.985189,23.88773,NA,NA,70.955666,1750.747803,3.111545,5.475554,NA,4.278586,9.939668,NA,NA,NA,9.305325,15.290683,8.110287,19.529287,13.885515,4.938807,4.922503,-0.440305,13.322453,NA,2.055526,10.956903,16.14385,NA,0.93316,13.842854,23.578104,8.120933,12.431702
2007-02-20,11.659579,94.182549,13.873935,24.033211,NA,NA,69.803581,1759.795532,3.145275,5.494282,NA,4.254353,9.914066,NA,NA,NA,9.131201,15.274679,8.068109,19.384745,13.918798,4.902903,4.863952,-0.434347,13.273935,NA,2.055526,10.909919,16.027445,NA,0.9204,13.765615,23.234673,8.106768,12.507047
2007-02-21,11.575536,93.018013,13.448554,24.033211,NA,NA,70.955666,1703.393188,3.128407,5.445532,NA,4.2405,9.837379,NA,NA,NA,8.992929,15.270677,8.104259,19.183992,13.964591,5.142264,4.834676,-0.429543,13.052123,NA,2.050385,10.77936,15.964769,NA,0.921232,13.749061,23.135603,8.054917,12.883766
2007-02-22,11.612262,94.066086,13.612165,24.081713,NA,NA,71.614044,1676.786133,3.119976,5.475554,NA,4.205894,9.837379,NA,NA,NA,8.9622,15.302684,8.176566,19.272322,13.719043,5.038542,4.840251,-0.435404,13.16996,NA,2.045249,10.685339,16.296064,NA,0.915406,13.715958,22.950674,7.988853,12.529647
2007-02-23,11.575536,93.862297,13.559807,24.184092,NA,NA,72.30896,1647.517578,3.111545,5.453047,NA,4.143584,9.811834,NA,NA,NA,9.074868,15.33069,8.152465,18.854753,13.69822,4.898915,4.809582,-0.432137,12.920424,NA,2.050385,10.836792,16.063263,NA,0.947307,13.787687,22.970491,7.988853,12.22074
2007-02-26,11.628035,93.687622,13.998278000000001,24.437359,NA,NA,74.96067,1659.226929,3.128407,5.464301,NA,4.140117,9.893629,NA,NA,NA,9.187538,15.386699,8.242846,18.774456,13.860538,4.962743,4.880681,-0.432041,12.622366,NA,2.07094,11.092711,15.893138,NA,0.957571,13.898028,23.597919,8.054917,12.507047
2007-02-27,11.207874,87.864883,13.160609,23.381193,NA,NA,70.77285,1567.696533,3.027218,5.303011,NA,3.960112,9.617534,NA,NA,NA,8.7932,15.250673,7.935548,17.746597,13.660739,4.599713,4.707814,-0.415417,12.019324,NA,1.98358,10.920367,15.18578,NA,0.923728,13.539407,22.851606,7.866263,11.949503
2007-02-28,11.323406,88.010468,13.173697,23.057877,NA,NA,70.553413,1579.396362,2.985057,5.25426,NA,3.873572,9.423228,NA,NA,NA,8.823926,15.382698,8.013878,17.43342,13.469289,4.623649,4.624169,-0.42272,12.060911,NA,1.927057,10.972604,15.427538,NA,0.954242,13.258027,22.686495,7.687055,11.761142
2007-03-01,11.281384,86.176323,12.754859,22.788439,NA,NA,70.955666,1511.28479,2.951328,5.145502,NA,3.832037,9.280069,NA,NA,NA,8.736866,15.514721,7.917471,17.192518,13.319441,4.667532,4.544707,-0.41657,11.956938,NA,1.927057,10.758467,15.221599,NA,0.962841,13.109056,22.257206,7.59275,11.678265
2007-03-02,11.239418,86.321869,12.610885,22.545956,NA,NA,72.107826,1532.041992,2.968194,5.115521,NA,3.804335,9.147129,NA,NA,NA,8.803442,15.402702,7.802985,17.762659,13.535912,4.647585,4.564224,-0.415705,12.026255,NA,1.968166,10.674892,15.275319,NA,0.961177,12.938024,22.07888,7.437105,11.557716
