,Unnamed: 0,Company,Ticker symbol,IGBM
0,0,Abertis,ABE.MC,car parks and motorways
1,1,Acciona,ANA.MC,construction
2,2,Acerinox,ACX.MC,"minerals, metals and transformation"
3,3,ACS,ACS.MC,construction
4,4,AENA,AENA.MC,airports
5,5,Amadeus IT Holding,AMS.MC,electronics and software
6,6,ArcelorMittal,MTS.MC,"minerals, metals and transformation"
7,7,Inmobiliaria Colonial,COL.MC,real estate
8,8,Banco Sabadell,SAB.MC,banks
9,9,Banco Santander,SAN.MC,banks
10,10,Bankia,BKIA.MC,banks
11,11,Bankinter,BKT.MC,banks
12,12,BBVA,BBVA.MC,banks
13,13,Caixabank,CABK.MC,banks
14,14,Cellnex,CLNX.MC,telecommunications and others
15,15,Dia,DIA.MC,food retailers and wholesalers
16,16,Enagás,ENG.MC,electricity and gas
17,17,Endesa,ELE.MC,electricity and gas
18,18,Ferrovial,FER.MC,construction
19,19,Siemens Gamesa Renewable Energy,SGRE.MC,manufacture and assembly of capital goods
20,20,Gas Natural,NTGY.MC,electricity and gas
21,21,Grifols,GRF.MC,pharmacy products and biotechnology
22,22,Iberdrola,IBE.MC,electricity and gas
23,23,Inditex,ITX.MC,"textiles, clothing and shoes"
24,24,Indra Sistemas,IDR.MC,electronics and software
25,25,International Airlines Group,IAG.MC,transport and distribution
26,26,Mapfre,MAP.MC,insurance
27,27,Mediaset España Comunicación,TL5.MC,communication and publicity
28,28,Meliá Hoteles,MEL.MC,hotels
29,29,Merlin Properties,MRL.MC,real estate investment trust
30,30,Red Eléctrica de España,REE.MC,electricity and gas
31,31,Repsol,REP.MC,petrol
32,32,Técnicas Reunidas,TRE.MC,engineering and others
33,33,Telefónica,TEF.MC,telecommunications and others
34,34,Viscofán,VIS.MC,materials
0,,CIE AUTOMOTIVE SA,CIE.MC,
